date,count,package
2013-01-01,6,agricolae
2013-01-02,12,agricolae
2013-01-03,13,agricolae
2013-01-04,13,agricolae
2013-01-05,13,agricolae
2013-01-06,4,agricolae
2013-01-07,17,agricolae
2013-01-08,26,agricolae
2013-01-09,28,agricolae
2013-01-10,22,agricolae
2013-01-11,19,agricolae
2013-01-12,14,agricolae
2013-01-13,14,agricolae
2013-01-14,18,agricolae
2013-01-15,15,agricolae
2013-01-16,38,agricolae
2013-01-17,19,agricolae
2013-01-18,17,agricolae
2013-01-19,15,agricolae
2013-01-20,21,agricolae
2013-01-21,26,agricolae
2013-01-22,21,agricolae
2013-01-23,23,agricolae
2013-01-24,16,agricolae
2013-01-25,29,agricolae
2013-01-26,12,agricolae
2013-01-27,11,agricolae
2013-01-28,20,agricolae
2013-01-29,38,agricolae
2013-01-30,19,agricolae
2013-01-31,20,agricolae
2013-02-01,19,agricolae
2013-02-02,11,agricolae
2013-02-03,11,agricolae
2013-02-04,16,agricolae
2013-02-05,20,agricolae
2013-02-06,23,agricolae
2013-02-07,21,agricolae
2013-02-08,14,agricolae
2013-02-09,7,agricolae
2013-02-10,17,agricolae
2013-02-11,29,agricolae
2013-02-12,17,agricolae
2013-02-13,23,agricolae
2013-02-14,29,agricolae
2013-02-15,25,agricolae
2013-02-16,12,agricolae
2013-02-17,14,agricolae
2013-02-18,13,agricolae
2013-02-19,21,agricolae
2013-02-20,25,agricolae
2013-02-21,24,agricolae
2013-02-22,27,agricolae
2013-02-23,9,agricolae
2013-02-24,9,agricolae
2013-02-25,13,agricolae
2013-02-26,35,agricolae
2013-02-27,31,agricolae
2013-02-28,23,agricolae
2013-03-01,24,agricolae
2013-03-02,11,agricolae
2013-03-03,17,agricolae
2013-03-04,59,agricolae
2013-03-05,29,agricolae
2013-03-06,33,agricolae
2013-03-07,32,agricolae
2013-03-08,24,agricolae
2013-03-09,11,agricolae
2013-03-10,7,agricolae
2013-03-11,51,agricolae
2013-03-12,37,agricolae
2013-03-13,15,agricolae
2013-03-14,36,agricolae
2013-03-15,29,agricolae
2013-03-16,23,agricolae
2013-03-17,22,agricolae
2013-03-18,33,agricolae
2013-03-19,25,agricolae
2013-03-20,42,agricolae
2013-03-21,43,agricolae
2013-03-22,78,agricolae
2013-03-23,20,agricolae
2013-03-24,15,agricolae
2013-03-25,33,agricolae
2013-03-26,22,agricolae
2013-03-27,21,agricolae
2013-03-28,14,agricolae
2013-03-29,11,agricolae
2013-03-30,2,agricolae
2013-03-31,11,agricolae
2013-04-01,23,agricolae
2013-04-02,15,agricolae
2013-04-03,30,agricolae
2013-04-04,50,agricolae
2013-04-05,37,agricolae
2013-04-06,33,agricolae
2013-04-07,22,agricolae
2013-04-08,44,agricolae
2013-04-09,47,agricolae
2013-04-10,48,agricolae
2013-04-11,58,agricolae
2013-04-12,60,agricolae
2013-04-13,24,agricolae
2013-04-14,20,agricolae
2013-04-15,67,agricolae
2013-04-16,53,agricolae
2013-04-17,49,agricolae
2013-04-18,41,agricolae
2013-04-19,38,agricolae
2013-04-20,15,agricolae
2013-04-21,15,agricolae
2013-04-22,34,agricolae
2013-04-23,36,agricolae
2013-04-24,58,agricolae
2013-04-25,65,agricolae
2013-04-26,43,agricolae
2013-04-27,25,agricolae
2013-04-28,28,agricolae
2013-04-29,30,agricolae
2013-04-30,39,agricolae
2013-05-01,28,agricolae
2013-05-02,34,agricolae
2013-05-03,36,agricolae
2013-05-04,12,agricolae
2013-05-05,16,agricolae
2013-05-06,37,agricolae
2013-05-07,36,agricolae
2013-05-08,26,agricolae
2013-05-09,39,agricolae
2013-05-10,32,agricolae
2013-05-11,21,agricolae
2013-05-12,20,agricolae
2013-05-13,37,agricolae
2013-05-14,37,agricolae
2013-05-15,41,agricolae
2013-05-16,58,agricolae
2013-05-17,31,agricolae
2013-05-18,17,agricolae
2013-05-19,28,agricolae
2013-05-20,28,agricolae
2013-05-21,26,agricolae
2013-05-22,32,agricolae
2013-05-23,67,agricolae
2013-05-24,27,agricolae
2013-05-25,18,agricolae
2013-05-26,8,agricolae
2013-05-27,37,agricolae
2013-05-28,51,agricolae
2013-05-29,34,agricolae
2013-05-30,44,agricolae
2013-05-31,21,agricolae
2013-06-01,19,agricolae
2013-06-02,20,agricolae
2013-06-03,36,agricolae
2013-06-04,38,agricolae
2013-06-05,45,agricolae
2013-06-06,77,agricolae
2013-06-07,37,agricolae
2013-06-08,18,agricolae
2013-06-09,14,agricolae
2013-06-10,65,agricolae
2013-06-11,43,agricolae
2013-06-12,54,agricolae
2013-06-13,27,agricolae
2013-06-14,31,agricolae
2013-06-15,16,agricolae
2013-06-16,26,agricolae
2013-06-17,32,agricolae
2013-06-18,44,agricolae
2013-06-19,47,agricolae
2013-06-20,53,agricolae
2013-06-21,32,agricolae
2013-06-22,8,agricolae
2013-06-23,16,agricolae
2013-06-24,36,agricolae
2013-06-25,23,agricolae
2013-06-26,17,agricolae
2013-06-27,44,agricolae
2013-06-28,34,agricolae
2013-06-29,17,agricolae
2013-06-30,16,agricolae
2013-07-01,18,agricolae
2013-07-02,48,agricolae
2013-07-03,26,agricolae
2013-07-04,44,agricolae
2013-07-05,13,agricolae
2013-07-06,28,agricolae
2013-07-07,14,agricolae
2013-07-08,35,agricolae
2013-07-09,27,agricolae
2013-07-10,25,agricolae
2013-07-11,24,agricolae
2013-07-12,34,agricolae
2013-07-13,16,agricolae
2013-07-14,36,agricolae
2013-07-15,40,agricolae
2013-07-16,43,agricolae
2013-07-17,28,agricolae
2013-07-18,35,agricolae
2013-07-19,37,agricolae
2013-07-20,20,agricolae
2013-07-21,12,agricolae
2013-07-22,19,agricolae
2013-07-23,28,agricolae
2013-07-24,35,agricolae
2013-07-25,28,agricolae
2013-07-26,21,agricolae
2013-07-27,18,agricolae
2013-07-28,11,agricolae
2013-07-29,25,agricolae
2013-07-30,23,agricolae
2013-07-31,44,agricolae
2013-08-01,44,agricolae
2013-08-02,34,agricolae
2013-08-03,13,agricolae
2013-08-04,10,agricolae
2013-08-05,31,agricolae
2013-08-06,37,agricolae
2013-08-07,43,agricolae
2013-08-08,35,agricolae
2013-08-09,21,agricolae
2013-08-10,12,agricolae
2013-08-11,14,agricolae
2013-08-12,41,agricolae
2013-08-13,59,agricolae
2013-08-14,36,agricolae
2013-08-15,23,agricolae
2013-08-16,39,agricolae
2013-08-17,9,agricolae
2013-08-18,12,agricolae
2013-08-19,38,agricolae
2013-08-20,41,agricolae
2013-08-21,32,agricolae
2013-08-22,37,agricolae
2013-08-23,33,agricolae
2013-08-24,9,agricolae
2013-08-25,14,agricolae
2013-08-26,42,agricolae
2013-08-27,38,agricolae
2013-08-28,25,agricolae
2013-08-29,35,agricolae
2013-08-30,35,agricolae
2013-08-31,7,agricolae
2013-09-01,33,agricolae
2013-09-02,67,agricolae
2013-09-03,34,agricolae
2013-09-04,30,agricolae
2013-09-05,24,agricolae
2013-09-06,19,agricolae
2013-09-07,40,agricolae
2013-09-08,28,agricolae
2013-09-09,104,agricolae
