date,package,count
2017-03-01,agricolae,175
2017-03-02,agricolae,400
2017-03-03,agricolae,339
2017-03-04,agricolae,192
2017-03-05,agricolae,159
2017-03-06,agricolae,341
2017-03-07,agricolae,346
2017-03-08,agricolae,366
2017-03-09,agricolae,382
2017-03-10,agricolae,317
2017-03-11,agricolae,144
2017-03-12,agricolae,159
2017-03-13,agricolae,370
2017-03-14,agricolae,422
2017-03-15,agricolae,319
2017-03-16,agricolae,409
2017-03-17,agricolae,279
2017-03-18,agricolae,157
2017-03-19,agricolae,146
2017-03-20,agricolae,314
2017-03-21,agricolae,379
2017-03-22,agricolae,333
2017-03-23,agricolae,375
2017-03-24,agricolae,285
2017-03-25,agricolae,145
2017-03-26,agricolae,177
2017-03-27,agricolae,471
2017-03-28,agricolae,437
2017-03-29,agricolae,485
2017-03-30,agricolae,505
2017-03-31,agricolae,432
2017-04-01,agricolae,181
2017-04-02,agricolae,220
2017-04-03,agricolae,494
2017-04-04,agricolae,492
2017-04-05,agricolae,437
2017-04-06,agricolae,369
2017-04-07,agricolae,400
2017-04-08,agricolae,141
2017-04-09,agricolae,155
2017-04-10,agricolae,333
2017-04-11,agricolae,337
2017-04-12,agricolae,376
2017-04-13,agricolae,308
2017-04-14,agricolae,178
2017-04-15,agricolae,117
2017-04-16,agricolae,145
2017-04-17,agricolae,213
2017-04-18,agricolae,341
2017-04-19,agricolae,306
2017-04-20,agricolae,479
2017-04-21,agricolae,312
2017-04-22,agricolae,188
2017-04-23,agricolae,210
2017-04-24,agricolae,407
2017-04-25,agricolae,459
2017-04-26,agricolae,360
2017-04-27,agricolae,359
2017-04-28,agricolae,375
2017-04-29,agricolae,193
2017-04-30,agricolae,177
2017-05-01,agricolae,329
2017-05-02,agricolae,368
2017-05-03,agricolae,477
2017-05-04,agricolae,357
2017-05-05,agricolae,415
2017-05-06,agricolae,231
2017-05-07,agricolae,163
2017-05-08,agricolae,341
2017-05-09,agricolae,411
2017-05-10,agricolae,457
2017-05-11,agricolae,475
2017-05-12,agricolae,425
2017-05-13,agricolae,179
2017-05-14,agricolae,168
2017-05-15,agricolae,368
2017-05-16,agricolae,466
2017-05-17,agricolae,452
2017-05-18,agricolae,364
2017-05-19,agricolae,307
2017-05-20,agricolae,133
2017-05-21,agricolae,169
2017-05-22,agricolae,407
2017-05-23,agricolae,390
2017-05-24,agricolae,462
2017-05-25,agricolae,308
2017-05-26,agricolae,255
2017-05-27,agricolae,158
2017-05-28,agricolae,135
2017-05-29,agricolae,299
2017-05-30,agricolae,363
2017-05-31,agricolae,334
2017-06-01,agricolae,322
2017-06-02,agricolae,259
2017-06-03,agricolae,151
2017-06-04,agricolae,131
2017-06-05,agricolae,259
2017-06-06,agricolae,336
2017-06-07,agricolae,325
2017-06-08,agricolae,486
2017-06-09,agricolae,241
2017-06-10,agricolae,132
2017-06-11,agricolae,143
2017-06-12,agricolae,308
2017-06-13,agricolae,329
2017-06-14,agricolae,367
2017-06-15,agricolae,352
2017-06-16,agricolae,224
2017-06-17,agricolae,136
2017-06-18,agricolae,155
2017-06-19,agricolae,321
2017-06-20,agricolae,293
2017-06-21,agricolae,341
2017-06-22,agricolae,296
2017-06-23,agricolae,238
2017-06-24,agricolae,95
2017-06-25,agricolae,112
2017-06-26,agricolae,264
2017-06-27,agricolae,264
2017-06-28,agricolae,278
2017-06-29,agricolae,241
